Timestamp,Name,Pic / vid 1,caption for pic / vid 1 (optional) ,Pic / vid 2,Caption for Pic / vid 2 (optional),Pic / vid 3,Caption for Pic / vid 3 (optional),Pic / vid 4,Caption for Pic / vid 4 (optional),Pic / vid 5,Caption for Pic / vid 5 (optional),"Prompt to share (optional)
If it’s too long, you can share a Google doc link ",Anything you wish to add / ask
2/22/2024 13:14:20,chow yiu fai,https://drive.google.com/open?id=1X41ESorKKg5nDLSpz1XmRE7aN34Svq-G,,https://drive.google.com/open?id=1Sc6rYQma4P1UOFYybn7PRwRVeGO4xoEl,,https://drive.google.com/open?id=1DLKd5vFSCqTwMJ8s9JOCkKSv7_-UPFyh,,https://drive.google.com/open?id=1WopTHathsw22yAZ_VAXaSqMhO_kNFsSb,,https://drive.google.com/open?id=1oFhYHQVLRbWlCma6ois0-rtAmq1o2a6H,,,
2/25/2024 20:36:29,Mak2,https://drive.google.com/open?id=1qI4BgC7J2JkXkNmNBW-vdQELwur9B3vN,,,,,,,,,,,
2/25/2024 21:52:31,Kingston / David,https://drive.google.com/open?id=1aDrNE-olxawfaXlEhU2N-hE1vsNY7Y50,劇本醫生 起始畫面,https://drive.google.com/open?id=1fTa8wdsz47QzysrJjEWRup0Onb9SLd-H,劇本醫生回答理論截圖一,https://drive.google.com/open?id=16JuRTlzpVuoED9HQ_-Nwuv2fL7T4prf4,劇本醫生回答理論截圖二,https://drive.google.com/open?id=1c1Mxq1A6OIYF1YwT_j2lBSVPSgu1v2r8,嘗試過程中劇本醫生錯誤回應一,https://drive.google.com/open?id=1JP5u5Ff_62BTQO-Wm0GqgkDVoWSC0PIL,嘗試過程中劇本醫生錯誤回應二,,
2/26/2024 0:02:12,Phoebe Wong,https://drive.google.com/open?id=1fcmFP5D2phE6AWx0LCdxK2DLmlxv_ksl,"Date: 28 Oct 2023
Testing with AI software Stable Diffusion XL

Text to image prompt: two stanzas from an AI poem (ChatGPT prompt: a poem about Eileen Chang and Andy Warhol)
Warhol's canvases, vibrant and bold,
Celebrities captured, stories untold.
Eileen's words, lyrical and profound,
Emotions unveiled, in silence they resound.

Warhol's Factory, a creative hive,
Eileen's pen, stories come alive.
Pop art's allure, glamour's embrace,
Eileen's tales, society's complex space.

AI Software = Stable Diffusion XL
Stable Diffusion checkpoint  = sd_xl_base_1.0.safetensors [e6bb9ea85b]
Sampling method =  DPM++ 2M Karras
Steps : CFG Scale = 20: 3",https://drive.google.com/open?id=1xDFdEkH3Cw8fyX9toXfFwCd31aruOs72,Nigel Cameron Dataset ,https://drive.google.com/open?id=1H8hRqnoW4JsmYcgbzWDFtYvMB0KDGx2Y,"Video footage generation for Review01
Tool used: Runway's Image-to-Video ",,,,,"[too big the video - work process]
https://drive.google.com/file/d/1vERTpaMhnF5mGjsi_Afs9bIaJKI6dIRQ/view?usp=drive_link

A recording of the video generation process for Review03
Tool used: Runway's Text-to-Video 



Prompts - Nigel Cameron Simulator training 
https://drive.google.com/file/d/1IVawkK-yMrjU-8mjO2PUFZfCFd121jsa/view?usp=drive_link",
2/27/2024 19:15:11,Frog King Kwok / Frog Queen Cho,https://drive.google.com/open?id=1koooO7bZ_2hHW1LrW1rSNcw24mA5kWB3,Midjourney,https://drive.google.com/open?id=1v2Y2d9IS54GcQV2RwBr5IDuBnfwab4J-,Midjourney,https://drive.google.com/open?id=1yF--NmE9xgveroCJ-TiJEXMQAn-AHTj7,Midjourney,https://drive.google.com/open?id=1SvX5gcK3YwEwFDqDaBSvrJ8kBlAJX7mv,"runway, Gen-2",https://drive.google.com/open?id=1K4yOocdVDwAbdU5aJOYKKjiHU7zxCFck,Movavi Video Editor 24,,
3/6/2024 4:29:26,Chui Pui Chee,https://drive.google.com/open?id=1902X4CVF1sP2pGWQWzQ4RV0_-wQdfWRs,第一回合完成仿古染色,https://drive.google.com/open?id=18gc3459Qm6HUR3rEcBI8NqsNi8022WE6,第一回合起稿後開始繪畫樹,https://drive.google.com/open?id=1j2nGYdnWI2vgwP75mDF0rQjzmlraUV9g,第一回合樹木基本完成，開始構思遠景部份,https://drive.google.com/open?id=1h7KB4qy_Hu8pE49TCupCInTpfz5HD6iv,第一回合完成遠景部份，將會開始設色,https://drive.google.com/open?id=1bI6k-5bkloZnr7sybk-5xxBbBOA8MaI2,第一回合完成設色，開始仿古染色,,
3/7/2024 1:45:43,Virtue Village,https://drive.google.com/open?id=10E_duSpdwJG-sNPt_egBQgEln7qochJ9,real video to AI reimagined video,https://drive.google.com/open?id=1-sckxYszFATdVh7APzEiTP1hTD69HVeR,text prompt to AI generated image,https://drive.google.com/open?id=1O2DVq6rJxM4LZvVPofNpQasUyqX8oQDR,text prompt to AI generated image to generated video,https://drive.google.com/open?id=1TW_oiPWUuZIlwIiozZLVptP-7vMWXhB3,real photo to AI generated video,,,,
3/7/2024 15:20:20,Kurt,https://drive.google.com/open?id=1qVsDKt60ujYAcVyWg5iWISOTbEmKHP67,https://poe.com/s/XXNWrfNg3j937WvZ8hUF,https://drive.google.com/open?id=1fQ50DeMJ5EbBmBSuJ2jA4Eo1T5V3jylO,https://poe.com/s/woViTbzzo0yjx4YNqxqh,https://drive.google.com/open?id=1Y2iT8I61JdA_OxDDxZqrfSLw5MdnEE3A,https://poe.com/s/taBdm9UOiLUCaOJGxlnM,https://drive.google.com/open?id=1fLVNAwvbOy6MTcHH3FG4FeLZW4UAkYp4,https://poe.com/s/u8GsixUDdCZa9iySXXWT,https://drive.google.com/open?id=1EkPC6r0k9OdQKfNCRnJWCH2TBm4hpYoH,,,